"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 13 20:07:07 GMT 2021","Fri Aug 13 20:07:11 GMT 2021","4341","Conduit_testing","test_conduit","TestConduit","","","test_login",""
"passed","Fri Aug 13 20:08:22 GMT 2021","Fri Aug 13 20:08:49 GMT 2021","27021","Conduit_testing","test_conduit","TestConduit","","","test_modify_post",""
"passed","Fri Aug 13 20:07:39 GMT 2021","Fri Aug 13 20:07:44 GMT 2021","4443","Conduit_testing","test_conduit","TestConduit","","","test_pagination",""
"passed","Fri Aug 13 20:09:18 GMT 2021","Fri Aug 13 20:09:22 GMT 2021","4315","Conduit_testing","test_conduit","TestConduit","","","test_saving_data",""
"passed","Fri Aug 13 20:06:59 GMT 2021","Fri Aug 13 20:07:02 GMT 2021","3073","Conduit_testing","test_conduit","TestConduit","","","test_cookies",""
"passed","Fri Aug 13 20:08:03 GMT 2021","Fri Aug 13 20:08:18 GMT 2021","15100","Conduit_testing","test_conduit","TestConduit","","","test_delete_post",""
"passed","Fri Aug 13 20:07:16 GMT 2021","Fri Aug 13 20:07:21 GMT 2021","5359","Conduit_testing","test_conduit","TestConduit","","","test_listing",""
"passed","Fri Aug 13 20:08:52 GMT 2021","Fri Aug 13 20:09:13 GMT 2021","21098","Conduit_testing","test_conduit","TestConduit","","","test_upload_data",""
"passed","Fri Aug 13 20:06:48 GMT 2021","Fri Aug 13 20:06:55 GMT 2021","6487","Conduit_testing","test_conduit","TestConduit","","","test_registration",""
"passed","Fri Aug 13 20:07:48 GMT 2021","Fri Aug 13 20:07:58 GMT 2021","9827","Conduit_testing","test_conduit","TestConduit","","","test_new_post",""
"passed","Fri Aug 13 20:07:26 GMT 2021","Fri Aug 13 20:07:35 GMT 2021","8428","Conduit_testing","test_conduit","TestConduit","","","test_logout",""
