"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 13 21:19:46 GMT 2021","Fri Aug 13 21:19:55 GMT 2021","8384","Conduit_testing","test_conduit","TestConduit","","","test_logout",""
"passed","Fri Aug 13 21:20:44 GMT 2021","Fri Aug 13 21:21:11 GMT 2021","26897","Conduit_testing","test_conduit","TestConduit","","","test_modify_post",""
"passed","Fri Aug 13 21:19:12 GMT 2021","Fri Aug 13 21:19:18 GMT 2021","6676","Conduit_testing","test_conduit","TestConduit","","","test_registration",""
"failed","Fri Aug 13 21:21:40 GMT 2021","Fri Aug 13 21:21:51 GMT 2021","10369","Conduit_testing","test_conduit","TestConduit","","","test_saving_data",""
"passed","Fri Aug 13 21:20:12 GMT 2021","Fri Aug 13 21:20:22 GMT 2021","9695","Conduit_testing","test_conduit","TestConduit","","","test_new_post",""
"passed","Fri Aug 13 21:21:15 GMT 2021","Fri Aug 13 21:21:36 GMT 2021","20979","Conduit_testing","test_conduit","TestConduit","","","test_upload_data",""
"passed","Fri Aug 13 21:20:26 GMT 2021","Fri Aug 13 21:20:41 GMT 2021","14941","Conduit_testing","test_conduit","TestConduit","","","test_delete_post",""
"passed","Fri Aug 13 21:19:22 GMT 2021","Fri Aug 13 21:19:25 GMT 2021","3058","Conduit_testing","test_conduit","TestConduit","","","test_cookies",""
"passed","Fri Aug 13 21:19:30 GMT 2021","Fri Aug 13 21:19:34 GMT 2021","4307","Conduit_testing","test_conduit","TestConduit","","","test_login",""
"passed","Fri Aug 13 21:19:59 GMT 2021","Fri Aug 13 21:20:08 GMT 2021","8440","Conduit_testing","test_conduit","TestConduit","","","test_pagination",""
"passed","Fri Aug 13 21:19:37 GMT 2021","Fri Aug 13 21:19:43 GMT 2021","5303","Conduit_testing","test_conduit","TestConduit","","","test_listing",""
