"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 13 21:40:35 GMT 2021","Fri Aug 13 21:40:43 GMT 2021","8381","Conduit_testing","test_conduit","TestConduit","","","test_pagination",""
"passed","Fri Aug 13 21:40:48 GMT 2021","Fri Aug 13 21:40:58 GMT 2021","9661","Conduit_testing","test_conduit","TestConduit","","","test_new_post",""
"passed","Fri Aug 13 21:39:57 GMT 2021","Fri Aug 13 21:40:00 GMT 2021","3061","Conduit_testing","test_conduit","TestConduit","","","test_cookies",""
"passed","Fri Aug 13 21:42:19 GMT 2021","Fri Aug 13 21:42:29 GMT 2021","10352","Conduit_testing","test_conduit","TestConduit","","","test_saving_data",""
"passed","Fri Aug 13 21:40:03 GMT 2021","Fri Aug 13 21:40:08 GMT 2021","4280","Conduit_testing","test_conduit","TestConduit","","","test_login",""
"passed","Fri Aug 13 21:40:22 GMT 2021","Fri Aug 13 21:40:31 GMT 2021","8442","Conduit_testing","test_conduit","TestConduit","","","test_logout",""
"passed","Fri Aug 13 21:41:02 GMT 2021","Fri Aug 13 21:41:17 GMT 2021","14832","Conduit_testing","test_conduit","TestConduit","","","test_delete_post",""
"passed","Fri Aug 13 21:41:22 GMT 2021","Fri Aug 13 21:41:49 GMT 2021","26860","Conduit_testing","test_conduit","TestConduit","","","test_modify_post",""
"passed","Fri Aug 13 21:40:12 GMT 2021","Fri Aug 13 21:40:18 GMT 2021","5310","Conduit_testing","test_conduit","TestConduit","","","test_listing",""
"passed","Fri Aug 13 21:39:46 GMT 2021","Fri Aug 13 21:39:53 GMT 2021","6503","Conduit_testing","test_conduit","TestConduit","","","test_registration",""
"passed","Fri Aug 13 21:41:53 GMT 2021","Fri Aug 13 21:42:14 GMT 2021","20972","Conduit_testing","test_conduit","TestConduit","","","test_upload_data",""
