"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 13 21:51:25 GMT 2021","Fri Aug 13 21:51:32 GMT 2021","6506","Conduit_testing","test_conduit","TestConduit","","","test_registration",""
"passed","Fri Aug 13 21:51:37 GMT 2021","Fri Aug 13 21:51:40 GMT 2021","3064","Conduit_testing","test_conduit","TestConduit","","","test_cookies",""
"passed","Fri Aug 13 21:52:15 GMT 2021","Fri Aug 13 21:52:23 GMT 2021","8428","Conduit_testing","test_conduit","TestConduit","","","test_pagination",""
"passed","Fri Aug 13 21:51:53 GMT 2021","Fri Aug 13 21:51:58 GMT 2021","5286","Conduit_testing","test_conduit","TestConduit","","","test_listing",""
"passed","Fri Aug 13 21:52:02 GMT 2021","Fri Aug 13 21:52:10 GMT 2021","8390","Conduit_testing","test_conduit","TestConduit","","","test_logout",""
"passed","Fri Aug 13 21:52:28 GMT 2021","Fri Aug 13 21:52:38 GMT 2021","9742","Conduit_testing","test_conduit","TestConduit","","","test_new_post",""
"passed","Fri Aug 13 21:53:58 GMT 2021","Fri Aug 13 21:54:08 GMT 2021","10356","Conduit_testing","test_conduit","TestConduit","","","test_saving_data",""
"passed","Fri Aug 13 21:53:02 GMT 2021","Fri Aug 13 21:53:29 GMT 2021","26915","Conduit_testing","test_conduit","TestConduit","","","test_modify_post",""
"passed","Fri Aug 13 21:51:44 GMT 2021","Fri Aug 13 21:51:48 GMT 2021","4313","Conduit_testing","test_conduit","TestConduit","","","test_login",""
"passed","Fri Aug 13 21:52:42 GMT 2021","Fri Aug 13 21:52:57 GMT 2021","14951","Conduit_testing","test_conduit","TestConduit","","","test_delete_post",""
"passed","Fri Aug 13 21:53:32 GMT 2021","Fri Aug 13 21:53:53 GMT 2021","21011","Conduit_testing","test_conduit","TestConduit","","","test_upload_data",""
