"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 13 19:57:19 GMT 2021","Fri Aug 13 19:57:25 GMT 2021","6787","Conduit_testing","test_conduit","TestConduit","","","test_registration",""
"passed","Fri Aug 13 19:58:50 GMT 2021","Fri Aug 13 19:59:17 GMT 2021","26774","Conduit_testing","test_conduit","TestConduit","","","test_modify_post",""
"passed","Fri Aug 13 19:58:16 GMT 2021","Fri Aug 13 19:58:26 GMT 2021","9595","Conduit_testing","test_conduit","TestConduit","","","test_new_post",""
"passed","Fri Aug 13 19:57:30 GMT 2021","Fri Aug 13 19:57:33 GMT 2021","3061","Conduit_testing","test_conduit","TestConduit","","","test_cookies",""
"passed","Fri Aug 13 19:58:30 GMT 2021","Fri Aug 13 19:58:45 GMT 2021","14816","Conduit_testing","test_conduit","TestConduit","","","test_delete_post",""
"broken","Fri Aug 13 19:59:20 GMT 2021","Fri Aug 13 19:59:32 GMT 2021","11638","Conduit_testing","test_conduit","TestConduit","","","test_upload_data",""
"passed","Fri Aug 13 19:57:54 GMT 2021","Fri Aug 13 19:58:03 GMT 2021","8350","Conduit_testing","test_conduit","TestConduit","","","test_logout",""
"passed","Fri Aug 13 19:57:45 GMT 2021","Fri Aug 13 19:57:50 GMT 2021","5249","Conduit_testing","test_conduit","TestConduit","","","test_listing",""
"passed","Fri Aug 13 19:58:07 GMT 2021","Fri Aug 13 19:58:12 GMT 2021","4354","Conduit_testing","test_conduit","TestConduit","","","test_pagination",""
"passed","Fri Aug 13 19:57:37 GMT 2021","Fri Aug 13 19:57:41 GMT 2021","4261","Conduit_testing","test_conduit","TestConduit","","","test_login",""
